iter,wake_time_s,wake_jitter_us,period_us,sensor_us,control_us,actuator_us,total_exec_us,overrun_period,overrun_budget,speed,voltage
285,424431.607025,83,9999,0,0,0,0,0,0,9.987636,9.992108
286,424431.617029,87,10004,0,0,0,0,1,0,9.987867,9.992256
287,424431.627025,84,9996,0,0,0,0,0,0,9.988094,9.992400
288,424431.637029,88,10004,0,0,0,0,1,0,9.988316,9.992542
289,424431.647025,84,9996,24,0,0,24,0,0,9.988534,9.992682
290,424431.657033,92,10007,0,0,0,0,1,0,9.988749,9.992818
291,424431.667028,87,9994,0,0,0,0,0,0,9.988959,9.992953
292,424431.677025,84,9997,0,0,0,0,0,0,9.989165,9.993084
293,424431.687027,86,10001,0,0,0,0,1,0,9.989367,9.993213
294,424431.697028,87,10001,0,0,0,0,1,0,9.989566,9.993340
295,424431.707044,103,10015,0,0,0,0,1,0,9.989761,9.993465
296,424431.717030,89,9986,0,0,0,0,0,0,9.989952,9.993587
297,424431.727026,85,9995,0,0,0,0,0,0,9.990140,9.993707
298,424431.737028,86,10001,0,0,0,0,1,0,9.990324,9.993824
299,424431.747027,85,9999,0,0,0,0,0,0,9.990505,9.993939
300,424431.757030,89,10003,0,0,0,0,1,0,9.990682,9.994053
301,424431.767025,84,9995,0,0,0,0,0,0,9.990856,9.994164
302,424431.777027,86,10002,0,0,0,0,1,0,9.991027,9.994273
303,424431.787024,83,9996,0,0,0,0,0,0,9.991195,9.994380
304,424431.797040,99,10016,0,0,0,0,1,0,9.991359,9.994485
305,424431.807023,82,9983,0,0,0,0,0,0,9.991521,9.994588
306,424431.817048,107,10025,0,0,0,0,1,0,9.991679,9.994689
307,424431.827026,85,9977,0,0,0,0,0,0,9.991835,9.994788
308,424431.837023,82,9997,0,0,0,0,0,0,9.991987,9.994886
309,424431.847046,105,10023,0,0,0,0,1,0,9.992137,9.994981
310,424431.857024,83,9977,0,0,0,0,0,0,9.992284,9.995075
311,424431.867043,102,10019,0,0,0,0,1,0,9.992428,9.995167
312,424431.877029,87,9985,0,0,0,0,0,0,9.992569,9.995257
313,424431.887027,86,9998,0,0,0,0,0,0,9.992708,9.995346
314,424431.897025,84,9997,0,0,0,0,0,0,9.992844,9.995433
315,424431.907027,85,10001,0,0,0,0,1,0,9.992978,9.995518
316,424431.917026,85,9999,0,0,0,0,0,0,9.993109,9.995602
317,424431.927024,83,9998,0,0,0,0,0,0,9.993238,9.995684
318,424431.937027,86,10002,0,0,0,0,1,0,9.993364,9.995765
319,424431.947025,84,9997,0,0,0,0,0,0,9.993488,9.995844
320,424431.957025,84,9999,0,0,0,0,0,0,9.993610,9.995921
321,424431.967027,86,10002,0,0,0,0,1,0,9.993729,9.995998
322,424431.977024,83,9996,0,0,0,0,0,0,9.993847,9.996072
323,424431.987028,87,10004,0,0,0,0,1,0,9.993961,9.996146
324,424431.997065,124,10036,0,0,0,0,1,0,9.994074,9.996218
325,424432.007032,90,9967,0,0,0,0,0,0,9.994185,9.996288
326,424432.017028,87,9996,0,0,0,0,0,0,9.994294,9.996358
327,424432.027025,84,9996,0,0,0,0,0,0,9.994400,9.996426
328,424432.037025,83,9999,0,0,0,0,0,0,9.994505,9.996493
329,424432.047025,84,10000,0,0,0,0,0,0,9.994608,9.996558
330,424432.057025,84,10000,0,0,0,0,0,0,9.994708,9.996622
331,424432.067026,85,10000,0,0,0,0,0,0,9.994807,9.996685
332,424432.077025,83,9998,0,0,0,0,0,0,9.994904,9.996747
333,424432.087028,86,10003,0,0,0,0,1,0,9.994999,9.996808
334,424432.097029,88,10001,0,0,0,0,1,0,9.995093,9.996868
335,424432.107027,86,9998,0,0,0,0,0,0,9.995184,9.996926
336,424432.117024,83,9996,0,0,0,0,0,0,9.995274,9.996984
337,424432.127025,83,10000,0,0,0,0,0,0,9.995363,9.997040
338,424432.137023,82,9998,0,0,0,0,0,0,9.995449,9.997095
339,424432.147029,88,10005,0,0,0,0,1,0,9.995534,9.997150
340,424432.157023,82,9994,0,0,0,0,0,0,9.995618,9.997203
341,424432.167042,101,10019,0,0,0,0,1,0,9.995700,9.997255
342,424432.177032,91,9989,0,0,0,0,0,0,9.995780,9.997306
343,424432.187026,85,9994,0,0,0,0,0,0,9.995859,9.997357
344,424432.197026,85,9999,0,0,0,0,0,0,9.995936,9.997406
345,424432.207046,105,10020,0,0,0,0,1,0,9.996012,9.997455
346,424432.217036,94,9989,0,0,0,0,0,0,9.996087,9.997502
347,424432.227027,86,9991,0,0,0,0,0,0,9.996160,9.997549
348,424432.237024,83,9997,0,0,0,0,0,0,9.996231,9.997595
349,424432.247027,86,10002,0,0,0,0,1,0,9.996302,9.997640
350,424432.257024,83,9997,0,0,0,0,0,0,9.996371,9.997684
351,424432.267025,84,10000,0,0,0,0,0,0,9.996439,9.997727
352,424432.277030,89,10004,0,0,0,0,1,0,9.996505,9.997769
353,424432.287024,83,9994,0,0,0,0,0,0,9.996571,9.997811
354,424432.297024,83,9999,0,0,0,0,0,0,9.996635,9.997852
355,424432.307029,88,10005,0,0,0,0,1,0,9.996698,9.997892
356,424432.317025,83,9995,0,0,0,0,0,0,9.996759,9.997931
357,424432.327023,82,9998,0,0,0,0,0,0,9.996820,9.997970
358,424432.337029,88,10005,0,0,0,0,1,0,9.996879,9.998008
359,424432.347029,88,9999,0,0,0,0,0,0,9.996937,9.998045
360,424432.357024,83,9995,0,0,0,0,0,0,9.996995,9.998082
361,424432.367043,102,10018,0,0,0,0,1,0,9.997051,9.998118
362,424432.377030,89,9987,0,0,0,0,0,0,9.997106,9.998153
363,424432.387027,86,9996,0,0,0,0,0,0,9.997160,9.998187
364,424432.397045,103,10017,0,0,0,0,1,0,9.997213,9.998221
365,424432.407055,114,10010,0,0,0,0,1,0,9.997265,9.998254
366,424432.417028,87,9972,0,0,0,0,0,0,9.997316,9.998287
367,424432.427026,85,9998,0,0,0,0,0,0,9.997366,9.998319
368,424432.437029,88,10002,0,0,0,0,1,0,9.997416,9.998350
369,424432.447027,85,9997,0,0,0,0,0,0,9.997464,9.998381
370,424432.457045,104,10018,0,0,0,0,1,0,9.997511,9.998411
371,424432.467032,91,9987,0,0,0,0,0,0,9.997558,9.998441
372,424432.477038,97,10006,0,0,0,0,1,0,9.997603,9.998470
373,424432.487026,85,9988,0,0,0,0,0,0,9.997648,9.998499
374,424432.497024,83,9997,0,0,0,0,0,0,9.997692,9.998527
375,424432.507028,87,10003,0,0,0,0,1,0,9.997735,9.998554
376,424432.517027,86,9999,0,0,0,0,0,0,9.997777,9.998581
377,424432.527024,83,9996,0,0,0,0,0,0,9.997819,9.998608
378,424432.537026,85,10001,0,0,0,0,1,0,9.997860,9.998634
379,424432.547027,86,10001,0,0,0,0,1,0,9.997900,9.998659
380,424432.557048,107,10021,0,0,0,0,1,0,9.997939,9.998684
381,424432.567032,91,9983,0,0,0,0,0,0,9.997977,9.998709
382,424432.577029,87,9996,0,0,0,0,0,0,9.998015,9.998733
383,424432.587027,86,9998,0,0,0,0,0,0,9.998052,9.998757
384,424432.597027,86,10000,0,0,0,0,0,0,9.998089,9.998780
385,424432.607026,85,9998,0,0,0,0,0,0,9.998124,9.998803
386,424432.617024,83,9998,0,0,0,0,0,0,9.998159,9.998825
387,424432.627026,85,10001,0,0,0,0,1,0,9.998194,9.998847
388,424432.637024,83,9998,0,0,0,0,0,0,9.998228,9.998869
389,424432.647026,85,10001,0,0,0,0,1,0,9.998261,9.998890
